날짜,총자산
2026-05-11,357000.0
2026-05-12,357000.0
2026-05-13,360199.56033325195
2026-05-14,360199.56033325195
2026-05-15,353992.7375793457
2026-05-18,347019.5116882324
2026-05-19,347142.2911529541
2026-05-20,373928.95808410645
2026-05-21,375392.538772583
2026-05-22,382475.4777069092
2026-05-26,392410.3365020752
2026-05-27,392410.3365020752
2026-05-28,393720.38830566406
2026-05-29,393720.38830566406
2026-06-01,394290.6688232422
2026-06-02,402620.1506347656
2026-06-03,402620.1506347656
2026-06-04,402620.1506347656
2026-06-05,389073.1074371338
2026-06-08,399188.1106414795
2026-06-09,397538.66899108887
2026-06-10,388727.0995025635
2026-06-11,418241.64739990234
